Address,Latitude,Longitude,MapAddress,Name,"Registration Status(Reg No,& Date & Relevant Law"
H.No.1107 St.67 G-9/4 Islamabad.051-2855715 ,33.6907749,73.04138189999999,"1107 Street 67, G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory, Pakistan",Islamabad Rozgar Markaz ,"VSWA/ICT/365, Date 12.1.2002 VSWA Ordinance 1961 "
"Jamia Masjid Ali-ul-Murtaza, Ali Market, F-11/1, Islamabad. 0300- 8548816 ",33.6778223,72.98441629999999,"Street 9, F 11/1 F-11, Islamabad, Islamabad Capital Territory, Pakistan",Islamabad Social Welfare Association ,"VSWA/ICT/498, Date 9/1/2007 VSWA Ordinance 1961 "
"Room No.14,19 & 20 Basement Malik Plaza F-8 Markaz, Islamabad 051- 2281932 ",33.7116672,73.0405741,"Malik Plaza, Plot 16-C, F-8 Markaz, F-8, Islamabad, ICT, Pakistan",Islamabad Society for Preservation of Blindness Islamabad Pakistan. ,"VSWA/ICT/93, Date 20.2.1991 VSWA Ordinance 1961 "
Islamabad Club Islamabad ,33.7053308,73.10584899999999,"Near Kashmir Chowk، Main Murree Rd، Islamabad Club, Islamabad, Islamabad Capital Territory, Pakistan",Islamabad Squish Rackets Association ,"VSWA/ICT/173, Date 4.10.1992 VSWA Ordinance 1961 "
Shop No.26 Food Market Near Masjid Al-Habib G-7/3 Islamabad. ,33.703483,73.07132399999999,"Markaz G-7 , Near Daewoo Shuttle Service Terminal، G 7 Markaz G-7, Islamabad, Islamabad Capital Territory, Pakistan",Islamabad Welfare Society. ,"VSWA/ICT/122, Date 11.8.1991 VSWA Ordinance 1961 "
"Village Irfanabad, Tarlai, Islamabad. ",33.6424851,73.13363199999999,"Java Rd, Burma Town, Islamabad, Islamabad Capital Territory, Pakistan",Isllahi Committee Irfanabad ,"VSWA/ICT/519Date 14.05.1988, VSWA Ordinance 1961 "
Kot Hathial Shumali B.Kau Islamabad ,33.7204997,73.0405277,"Islamabad Capital Territory, Pakistan",Itehad Welfare Society ,VSWA/ICT/150 Date 17.3.1992 VSWA Ordinance 1961 
H.No.2306 I-10/1 -4 Islamabad. 051- 410828 ,33.6425148,73.0361003,"Sector I-10/1 I 10/1 I-10, Islamabad, Islamabad Capital Territory, Pakistan",Itehad Welfare Society ,VSWA/ICT/76 Date 27.12.1989 VSWA Ordinance 1961 
Office #23 1st Floor Liberty Shopping Center Aabpara G-6 Islamabad 051- 2852009 ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Jamiat-ul-Quresh Meat Welfare Association. ,VSWA/ICT/249 Date 5.3.1996 VSWA Ordinance 1961 
"Suit No.5, 2nd Floor Masco Plaza Blue Area, Islamabad. 051-275285-6 ",33.6080202,73.0136928,"N-5, Islamabad, Islamabad Capital Territory, Pakistan",Jat Welfare Association. ,VSWA/ICT/285 Date 29.7.1998 VSWA Ordinance 1961 
"Office #5-A, Block No.21-N, Melody Market, G-6 Markaz, Islamabad.051- 2603303 ",33.7166521,73.0855357,"G-6 Markaz G 6 Markaz G-6, Islamabad, Islamabad Capital Territory, Pakistan",JOKE Welfare Organization ,VSWA/ICT/532 Date 23-09-2008 VSWA Ordinance 1961 
Noor Pur Shahan Muslim Colony Bari Imam Islamabad. 051-2245043 ,33.737029,73.1098806,"Muslim Colony Nurpur Shahan, Islamabad, Islamabad Capital Territory, Pakistan",Kashmir Public Welfare Society. ,VSWA/ICT/117Date 20.6.1991 VSWA Ordinance 1961 
Village Thanda Pani Lehtrar Road Islamabad ,33.6469923,73.2188377,"Lehtrar Road, Thanda Pani, Islamabad, Islamabad Capital Territory, Pakistan",Kashmir Welfare Society ,VSWA/ICT/198Date 16.3.1993 VSWA Ordinance 1961 
"H.No.378 St. 57 I-10/1, Islamabad ",33.6425148,73.0361003,"Sector I-10/1 I 10/1 I-10, Islamabad, Islamabad Capital Territory, Pakistan",Khattak Welfare Association. ,VSWA/ICT/299Date 11.3.1999 VSWA Ordinance 1961 
"Opp: Petrol Pump PSO Bharakau, Islamabad. ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Khidmat Gar Foundation ,VSWA/ICT/432Date 23.1.2004 VSWA Ordinance 1961 
"Opp: Petrol Pump PSO Bharakau, Islamabad. ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Khidmatgar Foundation ,VSWA/ICT/432Date 23.1.2004 VSWA Ordinance 1961 
"Village Dorary, Tarnol, Islamabad. 051-2217409 ",33.6555905,72.9076669,"Tarnol, Islamabad, Islamabad Capital Territory, Pakistan",Kiran Rajput Welfare and Social Organization. ,VSWA/ICT/444Date 24.7.2004 VSWA Ordinance 1961 
Plot No.4 Model Town Humak Islamabad ,33.5400015,73.1443894,"Street Number 4, Model Town Humak, Islamabad, Islamabad Capital Territory, Pakistan",Lajpal Social Programme ,VSWA/ICT/391Date 4.9.2002 VSWA Ordinance 1961 
"H# 161, Madni Mohallah, Bharakau, Islamabad. ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Madni Welfare Society. ,VSWA/ICT/468Date 4.4.2004 VSWA Ordinance 1961 
